State Name,Year,Accident Severity,Speed Limit (km/h),Driver Age,Driver Gender,Alcohol Involvement,Number of Fatalities
Maharashtra,2008,Moderate,119,48,Male,0,11
Andhra Pradesh,2023,Moderate,67,46,Male,1,12
Kerala,2001,Minor,101,32,Female,0,3
Andhra Pradesh,2007,Minor,59,42,Male,0,7
Andhra Pradesh,2019,Moderate,74,30,Male,0,9
Karnataka,2001,Severe,98,61,Female,1,10
Kerala,2010,Minor,48,41,Male,0,6
Kerala,2006,Severe,49,32,Male,1,8
Kerala,2005,Minor,84,41,Male,1,6
Andhra Pradesh,2009,Minor,54,43,Female,0,5
Maharashtra,2004,Moderate,69,36,Female,0,8
Kerala,2010,Minor,87,41,Male,1,6
Telangana,2000,Moderate,79,36,Male,1,9
Andhra Pradesh,2001,Severe,113,59,Male,1,14
Karnataka,2023,Severe,83,34,Female,0,10
Maharashtra,2000,Minor,85,65,Male,1,10
Telangana,2018,Minor,45,22,Female,0,4
Telangana,2001,Severe,63,21,Female,1,9
Karnataka,2020,Minor,112,39,Male,0,8
Maharashtra,2019,Moderate,46,27,Female,1,9
Andhra Pradesh,2022,Minor,45,38,Female,1,7
Tamil Nadu,2020,Minor,72,42,Female,0,7
Maharashtra,2023,Minor,77,23,Female,0,8
Karnataka,2003,Severe,83,47,Female,0,8
Telangana,2011,Severe,56,46,Male,0,7
Andhra Pradesh,2021,Minor,70,28,Female,0,7
Maharashtra,2019,Severe,76,28,Female,1,14
Tamil Nadu,2017,Minor,50,65,Female,0,6
Tamil Nadu,2000,Minor,44,63,Female,0,4
Kerala,2000,Severe,103,44,Female,0,7
Kerala,2023,Moderate,115,36,Male,0,9
Karnataka,2013,Minor,42,39,Male,0,6
Maharashtra,2003,Minor,95,45,Female,1,9
Maharashtra,2004,Severe,102,21,Male,0,11
Telangana,2010,Severe,77,54,Female,1,10
Telangana,2023,Severe,93,36,Male,0,11
Telangana,2022,Minor,41,34,Male,0,5
Kerala,2012,Severe,41,67,Female,1,10
Maharashtra,2015,Minor,51,57,Female,0,8
Maharashtra,2023,Severe,79,53,Female,0,12
Tamil Nadu,2012,Minor,41,40,Female,1,7
Kerala,2023,Minor,119,67,Male,1,11
Andhra Pradesh,2021,Moderate,96,45,Female,0,9
Kerala,2001,Severe,86,28,Male,1,9
Andhra Pradesh,2015,Severe,75,31,Female,0,9
Tamil Nadu,2005,Minor,43,30,Female,0,4
Karnataka,2013,Moderate,114,41,Male,0,8
Maharashtra,2000,Severe,63,33,Female,1,11
Tamil Nadu,2016,Minor,101,45,Female,1,9
Maharashtra,2010,Severe,41,47,Male,0,10
Telangana,2018,Severe,54,61,Male,0,8
Karnataka,2002,Minor,114,58,Female,1,9
Karnataka,2010,Minor,88,56,Male,0,8
Tamil Nadu,2004,Minor,74,59,Female,1,7
Karnataka,2016,Minor,86,44,Male,1,9
Andhra Pradesh,2021,Moderate,63,34,Female,1,10
Karnataka,2006,Moderate,99,67,Male,1,11
Maharashtra,2009,Moderate,116,43,Male,1,14
Maharashtra,2010,Minor,87,24,Male,0,8
